"","V1","V2","V3","V4","V5","V6"
"1","Q4:Howsatisfied","Q1:Howlong","Q15:trustexperts","Q7:wintrec","Q14:trustpolicy","Q2:PSattach"
"2","Q4:Howsatisfied","Q1:Howlong","Q5:natinspire","Q10:resable","Q14:trustpolicy","Q7:wintrec"
"3","Q4:Howsatisfied","Q1:Howlong","Q3:PSident","Q14:trustpolicy","Q10:resable","Q5:natinspire"
"4","Q4:Howsatisfied","Q1:Howlong","Q6:natstress","Q8:sumrec","Q14:trustpolicy","Q9:resgather"
"5","Q4:Howsatisfied","Q1:Howlong","Q10:resable","Q15:trustexperts","Q9:resgather","Q6:natstress"
"6","Q4:Howsatisfied","Q1:Howlong","Q9:resgather","Q13:workothers","Q2:PSattach","Q12:stewardact"
"7","Q4:Howsatisfied","Q1:Howlong","Q8:sumrec","Q11:cultureact","Q7:wintrec","Q15:trustexperts"
"8","Q4:Howsatisfied","Q1:Howlong","Q2:PSattach","Q12:stewardact","Q8:sumrec","Q3:PSident"
"9","Q4:Howsatisfied","Q1:Howlong","Q12:stewardact","Q10:resable","Q8:sumrec","Q2:PSattach"
"10","Q4:Howsatisfied","Q1:Howlong","Q7:wintrec","Q3:PSident","Q6:natstress","Q15:trustexperts"
"11","Q4:Howsatisfied","Q1:Howlong","Q11:cultureact","Q12:stewardact","Q5:natinspire","Q3:PSident"
"12","Q4:Howsatisfied","Q1:Howlong","Q6:natstress","Q13:workothers","Q5:natinspire","Q11:cultureact"
